Title,Sale Price,Regular Price,Image URL,Product Link
Men'S 541 Blue Athletic Tapered Fit Mid Rise Jeans,1699,3399,https://levi.in/cdn/shop/files/A66350040_01_Styleshot_360x.jpg?v=1743500327,https://levi.in/collections/men-jeans/products/mens-541-athletic-tapered-blue-jeans-a66350040
Men'S 578 Navy Baggy Fit Mid Rise Jeans,1999,3999,https://levi.in/cdn/shop/files/8d4abae0065e1289e9540626fd870b92_360x.jpg?v=1742305565,https://levi.in/collections/men-jeans/products/mens-578-baggy-fit-navy-jeans-004fu0003
Men'S 513 Black Slim Straight Fit Mid Rise Jeans,1699,3399,https://levi.in/cdn/shop/files/236770347_05_StyleShot_360x.jpg?v=1740547352,https://levi.in/collections/men-jeans/products/mens-513-slim-straight-fit-black-jeans-236770347
Men'S 527 Slim Bootcut Fit Navy Jeans,2449,4899,https://levi.in/cdn/shop/files/9f8238e71d854b67b61a517427c94766_360x.jpg?v=1745227512,https://levi.in/collections/men-jeans/products/mens-527-slim-bootcut-fit-navy-jeans-a66340041
Men'S 511 Slim Fit Dark Blue Jeans,1849,3699,https://levi.in/cdn/shop/files/531cf0bed572f358f641b65ea0fb01f5_360x.jpg?v=1745227507,https://levi.in/collections/men-jeans/products/mens-511-slim-fit-dark-blue-jeans-182981714
Men'S Navy Straight Fit Mid Rise Cargo Jeans,1849,3699,https://levi.in/cdn/shop/files/003XV0001_01_Elevated_360x.jpg?v=1743501860,https://levi.in/collections/men-jeans/products/mens-straight-fit-navy-cargo-jeans-003xv0001
Men'S 555 Blue Relaxed Straight Fit Mid Rise Jeans,1999,3999,https://levi.in/cdn/shop/files/003HM0000_01_Elevated_e3ef13c8-f7fc-4c35-a4f7-4c6c2fdd2ead_360x.jpg?v=1745311526,https://levi.in/collections/men-jeans/products/mens-555-relaxed-straight-fit-blue-jeans-003hm0000
Men'S 511 Slim Fit Olive Jeans,1849,3699,https://levi.in/cdn/shop/files/f1956eee9d830583953beb371a4fa370_360x.jpg?v=1745227497,https://levi.in/collections/men-jeans/products/mens-511-slim-fit-olive-jeans-182981659
Men'S 511 Dark Blue Slim Fit Mid Rise Jeans,1599,3199,https://levi.in/cdn/shop/files/A70870047_01_Style_shot_587a76c9-3bc8-44ee-b389-2fe1d5e62b6c_360x.jpg?v=1740488426,https://levi.in/collections/men-jeans/products/mens-511-dark-blue-slim-fit-jeans-a70870047
Men'S 555 Blue Relaxed Straight Fit Mid Rise Jeans,2449,4899,https://levi.in/cdn/shop/files/002IJ0004_01_Elevated._360x.jpg?v=1742815943,https://levi.in/collections/men-jeans/products/mens-555-relaxed-straight-fit-blue-jeans-002ij0004
Men'S 512 Indigo Slim Tapered Fit Mid Rise Jeans,1849,3699,https://levi.in/cdn/shop/files/A70860208_01_Styleshot_360x.jpg?v=1740547186,https://levi.in/collections/men-jeans/products/mens-512-slim-tapered-fit-indigo-jeans-a70860208
Men'S 550'92 Relaxed Tapered Fit Dark Blue Jeans,1499,2999,https://levi.in/cdn/shop/files/A32260047_01_Styleshot_360x.jpg?v=1749632613,https://levi.in/collections/men-jeans/products/mens-55092-relaxed-fit-dark-blue-jeans-a32260047
Men'S Redloop 511 Blue Slim Fit Mid Rise Jeans,3249,6499,https://levi.in/cdn/shop/files/A83570011_05_Styleshot_360x.jpg?v=1740488465,https://levi.in/collections/men-jeans/products/mens-511-slim-fit-blue-jeans-a83570011
Men'S 511 Navy Blue Slim Fit Mid Rise Jeans,1699,3399,https://levi.in/cdn/shop/files/182981613_05_Styleshot_20_360x.jpg?v=1740488468,https://levi.in/collections/men-jeans/products/mens-511-slim-fit-navy-jeans-182981613
Men'S 568 Navy Blue Loose Straight Mid Rise Jeans,2699,5399,https://levi.in/cdn/shop/files/003HL0006_01_Styleshot_360x.jpg?v=1739524319,https://levi.in/collections/men-jeans/products/mens-568-loose-fit-navy-jeans-003hl0006
Men'S 513 Navy Blue Slim Straight Fit Mid Rise Jeans,2199,4399,https://levi.in/cdn/shop/files/236770345_05_Styleshot_20_360x.jpg?v=1740547348,https://levi.in/collections/men-jeans/products/mens-513-slim-straight-fit-navy-jeans-236770345
Men'S 512 Blue Slim Tapered Fit Mid Rise Jeans,1599,3199,https://levi.in/cdn/shop/files/A70860044_01_Style_shot_09578343-0824-48f0-89f9-378c2818699d_360x.jpg?v=1740547142,https://levi.in/collections/men-jeans/products/mens-512-blue-slim-tapered-fit-jeans-a70860044
Men'S 512 Dark Blue Slim Tapered Fit Mid Rise Jeans,1599,3199,https://levi.in/cdn/shop/files/A70860102_01_Front_4ad790e9-8d14-4e71-bf52-abcde3d90ef5_360x.jpg?v=1740547139,https://levi.in/collections/men-jeans/products/mens-512-dark-blue-slim-tapered-fit-jeans-a70860102
Men'S 512 Black Slim Tapered Fit Mid Rise Jeans,1999,3999,https://levi.in/cdn/shop/files/002IY0001_01_Styleshot_ea2698fa-53fd-4d25-af4f-10421c2afdba_360x.jpg?v=1743411784,https://levi.in/collections/men-jeans/products/mens-512-slim-tapered-fit-black-jeans-002iy0001
Men'S 541 Navy Blue Athletic Tapered Fit Mid Rise Jeans,2699,5399,https://levi.in/cdn/shop/files/A66350050_05_Styleshot_20_360x.jpg?v=1734715831,https://levi.in/collections/men-jeans/products/mens-541-athletic-tapered-navy-jeans-a66350050
Men'S 568 Loose Straight Fit Blue Jeans,1999,3999,https://levi.in/cdn/shop/files/003HL0005_01_Elevated_360x.jpg?v=1749010561,https://levi.in/collections/men-jeans/products/mens-568-loose-straight-fit-blue-jeans-003hl0005
Men'S Redloop 512 Black Slim Tapered Fit Mid Rise Jeans,3999,7999,https://levi.in/cdn/shop/files/002JZ0003_05_Styleshot_360x.jpg?v=1740547191,https://levi.in/collections/men-jeans/products/mens-512-slim-tapered-fit-black-jeans-002jz0003
Men'S 550'92 Dark Blue Relaxed Tapered Fit Mid Rise Jeans,1849,3699,https://levi.in/cdn/shop/files/A32260053_01_Elevated_360x.jpg?v=1743491658,https://levi.in/collections/men-jeans/products/mens-55092-relaxed-fit-dark-blue-jeans-a32260053
Men'S 541 Regular Athletic Tapered Fit Blue Jeans,2849,5699,https://levi.in/cdn/shop/files/download_fd4d6862-9e2a-4463-a20c-810f18e28321_360x.jpg?v=1745160182,https://levi.in/collections/men-jeans/products/mens-541-regular-tapered-fit-blue-jeans-a66350069
